MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,VesselType,Status,Length,Width,synthetic
419000101,2025-03-13T17:15:00,18.66566,70.88684,11.8,333.5,335,SYN-TANKER-ALPHA,IMO9000001,80,0,292,51,True
419000101,2025-03-13T17:18:00,18.67415,70.88241,11.9,334.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,168,53,True
419000101,2025-03-13T17:21:00,18.68336,70.87797,12.2,337.2,335,SYN-TANKER-ALPHA,IMO9000001,80,0,225,52,True
419000101,2025-03-13T17:24:00,18.69263,70.87377,12.1,334.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,262,44,True
419000101,2025-03-13T17:27:00,18.70144,70.86965,12.1,335.5,335,SYN-TANKER-ALPHA,IMO9000001,80,0,162,24,True
419000101,2025-03-13T17:30:00,18.71056,70.86556,12.2,336.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,322,52,True
419000101,2025-03-13T17:33:00,18.71972,70.86011,12.3,336.1,335,SYN-TANKER-ALPHA,IMO9000001,80,0,152,54,True
419000101,2025-03-13T17:36:00,18.72909,70.85525,11.6,336.1,335,SYN-TANKER-ALPHA,IMO9000001,80,0,268,53,True
419000101,2025-03-13T17:39:00,18.73798,70.85134,12.3,333.1,335,SYN-TANKER-ALPHA,IMO9000001,80,0,266,48,True
419000101,2025-03-13T17:42:00,18.74702,70.8473,12.0,335.9,335,SYN-TANKER-ALPHA,IMO9000001,80,0,86,37,True
419000101,2025-03-13T17:45:00,18.75548,70.84194,11.6,337.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,316,25,True
419000101,2025-03-13T17:48:00,18.76502,70.83825,11.9,333.6,335,SYN-TANKER-ALPHA,IMO9000001,80,0,171,21,True
419000101,2025-03-13T17:51:00,18.77381,70.83324,11.9,333.8,335,SYN-TANKER-ALPHA,IMO9000001,80,0,115,18,True
419000101,2025-03-13T17:54:00,18.78193,70.82886,11.9,334.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,155,15,True
419000101,2025-03-13T17:57:00,18.7913,70.82443,11.8,334.4,335,SYN-TANKER-ALPHA,IMO9000001,80,0,273,23,True
419000101,2025-03-13T18:00:00,18.80053,70.81959,11.8,335.6,335,SYN-TANKER-ALPHA,IMO9000001,80,0,233,43,True
419000101,2025-03-13T18:03:00,18.81067,70.81571,11.7,337.7,335,SYN-TANKER-ALPHA,IMO9000001,80,0,113,43,True
419000101,2025-03-13T18:06:00,18.81996,70.81114,12.1,335.6,335,SYN-TANKER-ALPHA,IMO9000001,80,0,288,50,True
